"Ma","CO2"
0.3524,187.95
0.3533,192.51
0.3541,189.82
0.3547,195.45
0.3553,194.73
0.356,197.29
0.3564,193.63
0.3572,199.98
0.358,201.24
0.3588,201.86
0.3594,198.53
0.3604,201.24
0.361,203.56
0.3618,202.49
0.3628,205.14
0.3638,205.68
0.3646,204.51
0.3652,202.49
0.3658,200.61
0.3664,202.29
0.367,205.14
0.3675,207.18
0.3686,204.3
0.3696,208.15
0.3704,206.54
0.3715,205.47
0.3728,206.86
0.3737,210
0.3747,207.61
0.3759,208.15
0.3772,208.37
0.3782,209.68
0.3794,210.33
0.3806,213.5
0.3818,214.73
0.3826,216.74
0.3839,218.32
0.3851,218.54
0.3863,219.79
0.3873,224.84
0.3885,227.64
0.3896,228.11
0.3906,230.82
0.3918,234.53
0.3932,235.37
0.3945,238.05
0.3957,243.36
0.3967,244.36
0.3974,247.5
0.3982,250.3
0.3991,257.04
0.3997,259.26
0.4005,291.71
0.4014,296.87
0.4022,298.78
0.4029,285.25
0.4037,301.65
0.4046,286.17
0.4051,264.49
0.4058,255.99
0.4065,257.04
0.4073,247.51
0.4081,244.99
0.4089,249.16
0.4095,247.01
0.4103,248.91
0.4109,252.49
0.4114,234.66
0.412,235.87
0.4131,240.28
0.4139,220.83
0.4151,204.64
0.4162,223.92
0.4174,216.76
0.4182,200.43
0.4189,203.37
0.4194,217.2
0.4204,212.32
0.4212,215.09
0.422,224.51
0.423,233.11
0.4242,217.66
0.425,204.22
0.426,193.56
0.4268,187
0.4278,179.05
0.4288,181.02
0.4296,183.41
0.4304,178.39
0.4312,177.73
0.4321,175.87
0.4331,170.95
0.4341,169.88
0.4349,172.4
0.4361,174.04
0.4372,171.4
0.438,174.32
0.439,177.08
0.4401,179.05
0.4413,177.65
0.4421,180.84
0.4431,185.25
0.444,181.79
0.4451,180.75
0.4459,183.32
0.4471,187.79
0.4485,182.18
0.4498,182.65
0.4509,187.79
0.4521,192.26
0.453,195.69
0.4536,197.75
0.4544,197.44
0.4554,199.93
0.4566,199.51
0.4577,193.06
0.4589,193.47
0.46,195.91
0.4613,194.18
0.4621,191.06
0.463,192.16
0.4638,197.96
0.4649,197.86
0.4657,196.52
0.4666,201.39
0.4675,199.52
0.4687,194.69
0.4695,189.28
0.4703,190.37
0.4711,192.66
0.4721,197.45
0.4729,206.05
0.4738,221.54
0.4746,221.78
0.4758,218.81
0.4769,222.35
0.4779,216
0.4787,209.51
0.4797,208.2
0.4805,209.29
0.4812,207.99
0.4818,216.56
0.4826,219.61
0.4834,225.7
0.484,226.4
0.4844,224.42
0.4852,222.81
0.486,229.33
0.4866,230.28
0.4876,235.18
0.4889,237.01
0.4899,239.44
0.4907,235.19
0.4917,232.31
0.4927,231.23
0.4936,234.95
0.4946,234.1
0.4957,226.87
0.4967,229.81
0.4977,226.87
0.4987,224.2
0.4997,222.93
0.5008,226.64
0.502,224.32
0.503,220.64
0.504,212.91
0.5048,214.13
0.5058,214.02
0.5066,213.46
0.5078,212.57
0.5088,219.28
0.51,215.02
0.511,212.25
0.5126,212.91
0.5136,213.03
0.5148,207.03
0.5158,205.33
0.5172,205.64
0.5182,207.15
0.5196,209.31
0.521,214.46
0.5226,219.86
0.5238,223.17
0.5252,219.86
0.5265,213.7
0.5277,215.91
0.5289,213.47
0.5301,209.75
0.5315,208.13
0.5328,216.48
0.534,211.93
0.5358,206.2
0.5374,205.34
